# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,57.016349,0.060596,57.016349,0.060596,57.016349,0.060596
60,56.675749,0.035059,57.493188,0.050119,56.471390,0.053016
110,58.242507,0.111676,58.719346,0.068948,60.422343,0.070795
160,60.081744,0.146606,60.967302,0.081728,61.716621,0.163627
210,61.989101,0.162714,63.010899,0.134555,63.555858,0.172799
260,64.441417,0.148135,63.692098,0.133686,64.509537,0.164735
310,63.623978,0.144743,64.100817,0.148287,64.850136,0.147941
360,65.190736,0.161587,63.555858,0.177336,64.509537,0.160197
410,65.667575,0.143032,63.896458,0.186488,65.190736,0.154338
460,65.463215,0.148397,65.122616,0.204531,65.667575,0.149804
