# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,54.768392,0.120251,54.768392,0.120251,54.768392,0.120251
60,57.833787,0.145196,58.038147,0.122359,56.471390,0.053016
110,60.354223,0.171648,62.329700,0.155298,60.422343,0.070795
160,60.013624,0.149569,65.258856,0.167366,61.716621,0.163627
210,60.899183,0.151932,64.918256,0.164959,63.555858,0.172799
260,62.397820,0.183611,63.760218,0.157255,64.509537,0.164735
310,62.942779,0.182940,64.373297,0.160538,64.850136,0.147941
360,64.713896,0.200037,64.305177,0.177401,64.509537,0.160197
410,65.395095,0.181265,64.713896,0.194446,65.531335,0.161520
460,65.531335,0.172362,65.258856,0.203065,65.395095,0.147277
