# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,50.544959,0.045478,50.544959,0.045478,50.544959,0.045478
60,51.634877,0.062315,59.536785,0.060416,56.471390,0.053016
110,51.771117,0.044175,61.239782,0.055779,60.422343,0.070795
160,52.929155,0.000368,61.512262,0.082974,61.716621,0.163627
210,53.133515,0.003817,61.376022,0.091177,63.555858,0.172799
260,63.623978,0.147116,62.125341,0.117845,64.509537,0.164735
310,63.896458,0.139704,63.760218,0.130414,64.986376,0.151725
360,63.828338,0.165654,63.487738,0.129170,65.190736,0.158420
410,65.122616,0.173703,63.419619,0.156492,64.986376,0.156414
460,65.395095,0.165540,63.896458,0.147493,65.735695,0.149309
