# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,49.182561,0.068027,49.182561,0.068027,49.182561,0.068027
60,59.128065,0.080432,60.013624,0.135892,56.471390,0.053016
110,62.465940,0.220200,61.444142,0.147719,60.422343,0.070795
160,64.577657,0.184249,64.100817,0.172568,61.716621,0.163627
210,63.487738,0.204231,65.599455,0.169076,63.555858,0.172799
260,61.852861,0.160753,66.212534,0.170448,64.509537,0.164735
310,61.444142,0.190608,66.144414,0.166680,64.850136,0.147941
360,63.555858,0.155891,66.689373,0.180073,64.509537,0.151116
410,63.896458,0.157974,67.234332,0.198935,65.190736,0.159120
460,63.692098,0.187714,67.302452,0.197264,65.871935,0.149062
