# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,51.702997,0.005502,51.702997,0.005502,51.702997,0.005502
60,61.376022,0.007093,61.648501,0.013880,56.471390,0.001425
110,63.896458,0.014533,62.329700,0.022249,60.422343,0.004084
160,64.168937,0.019934,63.623978,0.023148,61.716621,0.015978
210,65.667575,0.023456,66.348774,0.019999,63.555858,0.018627
260,65.258856,0.019746,66.076294,0.019284,64.509537,0.017640
310,65.667575,0.019596,65.258856,0.021268,64.850136,0.014038
360,66.621253,0.018305,65.190736,0.019119,64.509537,0.015950
410,66.689373,0.021708,65.463215,0.018553,65.531335,0.016687
460,66.893733,0.020030,64.168937,0.018285,65.395095,0.014481
