# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,53.201635,0.002797,53.201635,0.002797,53.201635,0.002797
60,58.242507,0.002677,59.264305,0.003467,56.471390,0.001425
110,62.874659,0.008858,60.831063,0.012513,60.422343,0.004084
160,59.059946,0.011329,65.735695,0.015299,61.716621,0.015978
210,63.828338,0.014701,64.850136,0.014866,63.828338,0.018746
260,64.645777,0.015344,64.577657,0.014014,64.032698,0.018021
310,67.370572,0.019299,64.100817,0.014001,64.713896,0.013573
360,66.893733,0.019825,65.054496,0.014114,64.645777,0.015543
410,67.506812,0.020567,64.918256,0.013779,65.258856,0.015765
460,66.621253,0.016171,64.986376,0.014696,66.008174,0.015607
