# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,61.784741,0.133228,61.784741,0.133228,61.784741,0.133228
20,57.425068,0.068337,44.482289,0.011592,52.724796,0.004674
30,57.901907,0.038766,48.705722,0.069305,58.378747,0.120828
40,54.700272,0.041041,60.626703,0.141731,58.719346,0.126207
50,59.332425,0.052380,58.651226,0.122354,57.901907,0.065586
60,57.765668,0.068674,57.561308,0.122385,56.471390,0.053016
70,58.787466,0.086674,57.016349,0.116881,56.267030,0.048387
80,58.651226,0.068023,58.174387,0.126612,57.152589,0.052683
90,59.468665,0.107142,60.422343,0.139400,59.809264,0.084338
100,58.787466,0.068222,62.534060,0.162793,60.762943,0.062937
110,60.149864,0.091299,61.784741,0.169833,60.422343,0.070795
120,61.171662,0.115300,62.602180,0.176096,58.991826,0.100077
130,61.580381,0.126597,64.305177,0.166228,58.787466,0.123354
140,62.261580,0.146105,65.054496,0.158503,58.446866,0.142146
150,61.376022,0.141787,62.874659,0.121930,60.490463,0.146486
160,62.738420,0.142415,60.694823,0.089237,61.716621,0.163627
170,62.602180,0.155474,60.967302,0.099786,63.419619,0.166353
180,63.215259,0.133367,60.967302,0.092248,64.782016,0.169217
190,63.010899,0.153130,61.171662,0.092350,65.803815,0.168621
200,62.738420,0.140930,62.329700,0.102333,64.713896,0.167816
