# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,52.043597,0.017808,52.043597,0.017808,52.043597,0.017808
20,55.517711,0.039265,49.046322,0.058344,52.724796,0.004674
30,56.539510,0.038343,50.613079,0.042853,58.378747,0.120828
40,58.174387,0.072501,49.318801,0.045410,58.719346,0.126207
50,60.217984,0.117219,51.362398,0.062566,57.901907,0.065586
60,59.196185,0.111512,52.316076,0.083066,56.471390,0.053016
70,61.171662,0.135814,54.291553,0.059129,56.267030,0.048387
80,61.376022,0.158305,63.692098,0.144704,57.152589,0.052683
90,61.648501,0.158762,67.915531,0.184794,59.809264,0.084338
100,61.852861,0.155517,64.645777,0.187340,60.762943,0.062937
110,61.852861,0.153021,65.803815,0.152141,60.422343,0.070795
120,58.651226,0.123717,64.713896,0.140919,58.991826,0.100077
130,58.991826,0.120008,65.531335,0.157050,58.651226,0.112334
140,59.196185,0.115327,65.531335,0.127678,58.242507,0.122864
150,58.991826,0.118781,62.670300,0.120775,60.354223,0.154921
160,58.514986,0.116578,61.716621,0.082826,60.831063,0.164394
170,57.901907,0.114088,60.899183,0.062238,62.534060,0.164415
180,57.493188,0.105639,63.147139,0.085238,64.577657,0.181970
190,57.561308,0.109660,63.010899,0.085811,64.645777,0.178712
200,57.629428,0.111603,63.283379,0.089882,63.828338,0.174901
