# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,41.757493,0.005800,41.757493,0.005800,41.757493,0.005800
20,49.931880,0.000006,50.817439,0.007564,52.724796,0.001472
30,56.471390,0.000401,45.776567,0.006278,58.378747,0.008790
40,56.675749,0.000234,55.381471,0.000513,58.719346,0.009463
50,55.313351,0.000177,50.885559,0.001420,57.901907,0.003310
60,55.177112,0.000184,59.536785,0.012575,56.471390,0.001425
70,54.836512,0.000583,59.604905,0.009973,56.267030,0.001369
80,51.907357,0.005504,60.558583,0.016256,57.152589,0.001617
90,51.498638,0.005623,59.332425,0.021037,59.809264,0.004597
100,51.634877,0.006079,59.877384,0.022049,60.762943,0.003163
110,51.362398,0.005650,60.217984,0.017367,60.422343,0.004084
120,51.702997,0.006871,61.852861,0.022298,59.877384,0.010991
130,52.111717,0.004884,61.648501,0.021651,58.787466,0.010025
140,52.929155,0.002359,62.193460,0.020845,59.264305,0.012917
150,55.517711,0.000231,61.648501,0.020619,61.307902,0.014990
160,60.013624,0.005157,61.376022,0.024551,62.602180,0.016630
170,61.307902,0.005044,62.806540,0.023487,63.487738,0.016277
180,61.444142,0.006704,63.079019,0.019972,65.463215,0.018070
190,61.648501,0.007388,63.555858,0.020607,65.326975,0.019951
200,61.716621,0.007249,64.305177,0.016799,64.850136,0.018955
