# x_axis, ur_accuracies, ur_fairness, rs_accuracies, rs_fairness, nonal_accuracies, nonal_fairness
10,47.138965,0.080758,47.138965,0.080758,47.138965,0.080758
60,60.081744,0.100631,57.288828,0.040662,56.471390,0.053016
110,61.103542,0.120540,63.623978,0.147326,60.422343,0.070795
160,62.125341,0.129516,62.465940,0.109523,61.171662,0.166910
210,62.329700,0.136918,67.234332,0.157632,62.942779,0.172862
260,64.509537,0.146797,67.098093,0.162879,63.623978,0.169600
310,63.896458,0.105400,63.828338,0.139515,64.645777,0.143750
360,65.190736,0.102917,65.599455,0.158358,64.509537,0.154196
410,66.893733,0.166109,66.825613,0.177345,65.190736,0.153068
460,66.893733,0.169506,68.324251,0.195723,65.531335,0.145168
